GeneSymbol_input,STRING_id,GeneSymbol_STRING
Msr1,10116.ENSRNOP00000017339,Msr1
Fam72a,10116.ENSRNOP00000061509,Fam72a
Cd55,10116.ENSRNOP00000005284,Cd55
Brix1,10116.ENSRNOP00000024285,Brix1
Fcnb,10116.ENSRNOP00000012494,Fcnb
Desi1,10116.ENSRNOP00000007424,Desi1
Timp1,10116.ENSRNOP00000013745,Timp1
Treml2,10116.ENSRNOP00000043394,Treml2
Srsf7,10116.ENSRNOP00000035155,Srsf7
Nek6,10116.ENSRNOP00000069207,Nek6
Hilpda,10116.ENSRNOP00000070117,Hilpda
Ptk6,10116.ENSRNOP00000017337,Ptk6
Snrpe,10116.ENSRNOP00000047775,Snrpe
Krt8,10116.ENSRNOP00000029068,Krt8
Arf4,10116.ENSRNOP00000017692,Arf4
Pik3r1,10116.ENSRNOP00000025687,Pik3r1
Sdc4,10116.ENSRNOP00000019386,Sdc4
Lrrc59,10116.ENSRNOP00000004941,Lrrc59
Lamc1,10116.ENSRNOP00000003605,Lamc1
Cdh5,10116.ENSRNOP00000017983,Cdh5
Chsy1,10116.ENSRNOP00000016939,Chsy1
Hikeshi,10116.ENSRNOP00000072747,Hikeshi
Vgf,10116.ENSRNOP00000050024,Vgf
Rpa3,10116.ENSRNOP00000011123,Rpa3
Casp8,10116.ENSRNOP00000016613,Casp8
Psmc6,10116.ENSRNOP00000009649,Psmc6
Cxcl11,10116.ENSRNOP00000035380,Cxcl11
RGD1559575,10116.ENSRNOP00000050987,RGD1559575
Ppid,10116.ENSRNOP00000035797,Ppid
Olr1,10116.ENSRNOP00000071872,Olr1
Eif2a,10116.ENSRNOP00000018022,Eif2a
Abcc2,10116.ENSRNOP00000064799,Abcc2
Nes,10116.ENSRNOP00000025314,Nes
Clic1,10116.ENSRNOP00000060240,Clic1
Ecscr,10116.ENSRNOP00000067313,Ecscr
Tnf,10116.ENSRNOP00000074520,Tnf
Ppp2r2d,10116.ENSRNOP00000023139,Ppp2r2d
Thg1l,10116.ENSRNOP00000007917,Thg1l
Ostc,10116.ENSRNOP00000037521,Ostc
Enah,10116.ENSRNOP00000073827,Enah
Utp18,10116.ENSRNOP00000003582,Utp18
Utp25,10116.ENSRNOP00000006395,Utp25
